Unnamed: 0,ID,POS,NEG
0,ENG30-03574555-n,0.0,0.0
1,ENG30-07810907-n,0.0,0.25
2,ENG30-00721431-n,0.0,0.5
3,ENG30-00473799-v,0.0,0.5
4,ENG30-00903385-v,0.0,0.5
5,ENG30-00900961-v,0.0,0.5
6,ENG30-01987160-v,0.0,0.125
7,ENG30-01348174-v,0.25,0.125
8,ENG30-01376245-v,0.125,0.375
9,ENG30-01382083-v,0.0,0.125
10,ENG30-01387022-v,0.125,0.25
11,ENG30-01393996-v,0.125,0.25
12,ENG30-01421622-v,0.0,0.375
13,ENG30-01431987-v,0.0,0.375
14,ENG30-01437254-v,0.0,0.5
15,ENG30-01441100-v,0.0,0.375
16,ENG30-01445932-v,0.0,0.375
17,ENG30-01446901-v,0.0,0.625
18,ENG30-01371756-v,0.0,0.375
19,ENG30-01370561-v,0.0,0.25
20,ENG30-01391280-v,0.0,0.375
21,ENG30-01435380-v,0.0,0.0
22,ENG30-01456771-v,0.0,0.375
23,ENG30-01461328-v,0.0,0.5
24,ENG30-01487311-v,0.0,0.5
25,ENG30-01488956-v,0.0,0.375
26,ENG30-01489989-v,0.0,0.375
27,ENG30-01493619-v,0.0,0.375
28,ENG30-01528069-v,0.0,0.25
29,ENG30-01536168-v,0.0,0.25
30,ENG30-01566705-v,0.0,0.875
31,ENG30-01573515-v,0.0,0.125
32,ENG30-01631534-v,0.0,0.375
33,ENG30-01634142-v,0.125,0.25
34,ENG30-01691057-v,0.0,0.5
35,ENG30-01723690-v,0.0,0.375
36,ENG30-01747374-v,0.0,0.5
37,ENG30-01797051-v,0.0,0.5
38,ENG30-01824532-v,0.0,0.0
39,ENG30-01828405-v,0.0,0.25
40,ENG30-01866610-v,0.0,0.5
41,ENG30-01868370-v,0.0,0.5
42,ENG30-01876530-v,0.375,0.0
43,ENG30-01888946-v,0.0,0.375
44,ENG30-01902405-v,0.0,0.0
45,ENG30-01902783-v,0.0,0.375
46,ENG30-01909397-v,0.125,0.375
47,ENG30-01911888-v,0.0,0.25
48,ENG30-01916634-v,0.0,0.375
49,ENG30-01920932-v,0.0,0.0
50,ENG30-01938426-v,0.0,0.0
51,ENG30-01960911-v,0.0,0.25
52,ENG30-01977701-v,0.0,0.125
53,ENG30-01983771-v,0.125,0.375
54,ENG30-01993926-v,0.25,0.0
55,ENG30-02038357-v,0.0,0.25
56,ENG30-02058448-v,0.0,0.375
57,ENG30-02123672-v,0.0,0.5
58,ENG30-02125223-v,0.0,0.25
59,ENG30-01887576-v,0.0,0.75
60,ENG30-01886488-v,0.125,0.0
61,ENG30-01587062-v,0.0,0.375
62,ENG30-01467370-v,0.0,0.5
63,ENG30-01976841-v,0.0,0.375
64,ENG30-02157731-v,0.0,0.25
65,ENG30-02158587-v,0.0,0.0
66,ENG30-01334535-v,0.0,0.375
67,ENG30-02163746-v,0.0,0.375
68,ENG30-02165543-v,0.0,0.375
69,ENG30-02186506-v,0.125,0.25
70,ENG30-02188587-v,0.0,0.375
71,ENG30-02212825-v,0.0,0.375
72,ENG30-02259005-v,0.0,0.5
73,ENG30-02290461-v,0.0,0.5
74,ENG30-02293321-v,0.0,0.375
75,ENG30-02324026-v,0.0,0.125
76,ENG30-02345647-v,0.125,0.375
77,ENG30-02349212-v,0.0,0.0
78,ENG30-02378623-v,0.0,0.5
79,ENG30-02384940-v,0.0,0.375
80,ENG30-02437707-v,0.0,0.5
81,ENG30-02485844-v,0.0,0.5
82,ENG30-02506546-v,0.25,0.25
83,ENG30-02570267-v,0.125,0.25
84,ENG30-01752884-v,0.0,0.625
85,ENG30-02641035-v,0.0,0.125
86,ENG30-02652494-v,0.0,0.25
87,ENG30-02656390-v,0.0,0.0
88,ENG30-02664575-v,0.125,0.0
89,ENG30-02700104-v,0.0,0.125
90,ENG30-02705535-v,0.0,0.25
91,ENG30-02758033-v,0.375,0.125
92,ENG30-02733524-n,0.0,0.375
93,ENG30-03462594-n,0.0,0.0
94,ENG30-08592165-n,0.0,0.375
95,ENG30-07293678-n,0.0,0.125
96,ENG30-05034473-n,0.0,0.5
97,ENG30-07977592-n,0.0,0.5
98,ENG30-13562862-n,0.125,0.25
99,ENG30-13451804-n,0.0,0.125
100,ENG30-07420991-n,0.0,0.0
101,ENG30-13597794-n,0.25,0.0
102,ENG30-05057061-n,0.0,0.375
103,ENG30-01455732-a,0.0,0.375
104,ENG30-07345593-n,0.0,0.375
105,ENG30-01221254-n,0.0,0.375
106,ENG30-01278080-a,0.0,0.0
107,ENG30-07968702-n,0.25,0.0
108,ENG30-06630017-n,0.125,0.0
109,ENG30-08500213-n,0.0,0.125
110,ENG30-15235126-n,0.0,0.0
111,ENG30-15205532-n,0.0,0.125
112,ENG30-13863186-n,0.0,0.25
113,ENG30-07201365-n,0.0,0.0
114,ENG30-00125629-n,0.0,0.0
115,ENG30-07940448-n,0.0,0.0
116,ENG30-09622928-n,0.375,0.0
117,ENG30-05949726-n,0.125,0.0
118,ENG30-07929519-n,0.0,0.125
119,ENG30-07933274-n,0.0,0.25
120,ENG30-05333777-n,0.0,0.5
121,ENG30-04244997-n,0.0,0.25
122,ENG30-03329663-n,0.0,0.0
123,ENG30-02792552-n,0.0,0.25
124,ENG30-05298313-n,0.0,0.0
125,ENG30-08414119-n,0.0,0.0
126,ENG30-08375369-n,0.0,0.0
127,ENG30-07966719-n,0.375,0.0
128,ENG30-09328904-n,0.0,0.0
129,ENG30-02993546-n,0.0,0.25
130,ENG30-04306080-n,0.0,0.25
131,ENG30-03054311-n,0.0,0.5
132,ENG30-03859280-n,0.0,0.5
133,ENG30-03542333-n,0.0,0.5
134,ENG30-03457902-n,0.0,0.125
135,ENG30-08057206-n,0.0,0.375
136,ENG30-03594945-n,0.125,0.0
137,ENG30-02924554-n,0.0,0.125
138,ENG30-00138221-n,0.0,0.5
139,ENG30-07414922-n,0.0,0.375
140,ENG30-08006094-n,0.0,0.5
141,ENG30-07305234-n,0.0,0.5
142,ENG30-07189411-n,0.0,0.5
143,ENG30-00260622-n,0.375,0.25
144,ENG30-07357388-n,0.25,0.0
145,ENG30-07358576-n,0.0,0.0
146,ENG30-04981658-n,0.0,0.125
147,ENG30-01037819-n,0.0,0.375
148,ENG30-08579487-n,0.0,0.125
149,ENG30-04253437-n,0.0,0.25
150,ENG30-14845743-n,0.0,0.25
151,ENG30-13811410-n,0.0,0.0
152,ENG30-02536685-n,0.0,0.25
153,ENG30-07977870-n,0.0,0.25
154,ENG30-07961480-n,0.0,0.375
155,ENG30-04338359-n,0.0,0.5
156,ENG30-08271042-n,0.0,0.0
157,ENG30-08407619-n,0.0,0.125
158,ENG30-07963711-n,0.0,0.375
159,ENG30-08374049-n,0.0,0.125
160,ENG30-07210801-n,0.0,0.75
161,ENG30-07211092-n,0.0,0.5
162,ENG30-07956426-n,0.0,0.125
163,ENG30-03069752-n,0.0,0.375
164,ENG30-02679415-n,0.0,0.375
165,ENG30-05559908-n,0.0,0.5
166,ENG30-04454240-n,0.0,0.375
167,ENG30-08377085-n,0.0,0.375
168,ENG30-13870805-n,0.0,0.125
169,ENG30-03779370-n,0.0,0.375
170,ENG30-02801938-n,0.0,0.375
171,ENG30-07458453-n,0.0,0.5
172,ENG30-08403787-n,0.0,0.25
173,ENG30-15123754-n,0.0,0.375
174,ENG30-03709644-n,0.0,0.375
175,ENG30-03969627-n,0.0,0.0
176,ENG30-00892145-n,0.0,0.125
177,ENG30-03366823-n,0.0,0.375
178,ENG30-03050026-n,0.0,0.25
179,ENG30-04151940-n,0.0,0.125
180,ENG30-03724870-n,0.125,0.125
181,ENG30-00770270-n,0.0,0.25
182,ENG30-13872975-n,0.0,0.375
183,ENG30-03623556-n,0.0,0.5
184,ENG30-04101497-n,0.0,0.5
185,ENG30-08644213-n,0.0,0.25
186,ENG30-15183428-n,0.0,0.625
187,ENG30-07389330-n,0.0,0.375
188,ENG30-03800563-n,0.125,0.0
189,ENG30-03320046-n,0.0,0.125
190,ENG30-03666591-n,0.0,0.375
191,ENG30-03851341-n,0.0,0.375
192,ENG30-03111899-n,0.0,0.0
193,ENG30-03277771-n,0.0,0.125
194,ENG30-03705379-n,0.0,0.125
195,ENG30-04526964-n,0.0,0.25
196,ENG30-03744840-n,0.0,0.0
197,ENG30-03269401-n,0.0,0.375
198,ENG30-03736970-n,0.0,0.0
199,ENG30-03720163-n,0.0,0.25
200,ENG30-00046344-n,0.0,0.0
201,ENG30-07307895-n,0.0,0.5
202,ENG30-07140978-n,0.0,0.5
203,ENG30-07148192-n,0.0,0.125
204,ENG30-02025550-v,0.0,0.5
205,ENG30-02037090-v,0.0,0.375
206,ENG30-03464467-n,0.0,0.125
207,ENG30-02185373-v,0.0,0.25
208,ENG30-00446493-n,0.0,0.375
209,ENG30-04749572-n,0.0,0.125
210,ENG30-08538426-n,0.0,0.25
211,ENG30-13163250-n,0.0,0.0
212,ENG30-08216900-n,0.0,0.0
213,ENG30-02731398-n,0.0,0.125
214,ENG30-03581634-n,0.25,0.125
215,ENG30-04166553-n,0.0,0.125
216,ENG30-04219424-n,0.0,0.375
217,ENG30-03779128-n,0.0,0.375
218,ENG30-01242962-n,0.0,0.5
219,ENG30-03682487-n,0.0,0.375
220,ENG30-00006150-n,0.0,0.25
221,ENG30-09992837-n,0.0,0.5
222,ENG30-13863602-n,0.0,0.5
223,ENG30-05566097-n,0.125,0.125
224,ENG30-08572335-n,0.0,0.375
225,ENG30-03667380-n,0.0,0.0
226,ENG30-03074855-n,0.0,0.25
227,ENG30-04045397-n,0.125,0.125
228,ENG30-03640589-n,0.0,0.5
229,ENG30-09923673-n,0.0,0.125
230,ENG30-14024882-n,0.0,0.0
231,ENG30-09349797-n,0.0,0.25
232,ENG30-03003730-n,0.0,0.125
233,ENG30-09448361-n,0.0,0.125
234,ENG30-05470189-n,0.0,0.25
235,ENG30-09624559-n,0.0,0.125
236,ENG30-03822171-n,0.0,0.25
237,ENG30-08466412-n,0.0,0.0
